datetime,node,values,units,dataset,region
1927-02-01T00:00:00.000000,C_CSL004B,136.7403311659894,CFS,delta_diversions_total,north_delta
1927-03-01T00:00:00.000000,C_CSL004B,115.61700969157701,CFS,delta_diversions_total,north_delta
1927-04-01T00:00:00.000000,C_CSL004B,68.92254058322642,CFS,delta_diversions_total,north_delta
1927-05-01T00:00:00.000000,C_CSL004B,77.71671916396745,CFS,delta_diversions_total,north_delta
1927-06-01T00:00:00.000000,C_CSL004B,68.16101960428387,CFS,delta_diversions_total,north_delta
1927-07-01T00:00:00.000000,C_CSL004B,92.24990571837215,CFS,delta_diversions_total,north_delta
1927-08-01T00:00:00.000000,C_CSL004B,104.02711706853438,CFS,delta_diversions_total,north_delta
1927-09-01T00:00:00.000000,C_CSL004B,117.02763908764706,CFS,delta_diversions_total,north_delta
1927-10-01T00:00:00.000000,C_CSL004B,113.3614079207842,CFS,delta_diversions_total,north_delta
1927-11-01T00:00:00.000000,C_CSL004B,117.61591598929897,CFS,delta_diversions_total,north_delta
1927-12-01T00:00:00.000000,C_CSL004B,112.0596189475344,CFS,delta_diversions_total,north_delta
1928-01-01T00:00:00.000000,C_CSL004B,111.52721536506321,CFS,delta_diversions_total,north_delta
1928-02-01T00:00:00.000000,C_CSL004B,321.86600347372155,CFS,delta_diversions_total,north_delta
1928-03-01T00:00:00.000000,C_CSL004B,290.90416055197915,CFS,delta_diversions_total,north_delta
1928-04-01T00:00:00.000000,C_CSL004B,130.39683077596985,CFS,delta_diversions_total,north_delta
1928-05-01T00:00:00.000000,C_CSL004B,77.7293162903198,CFS,delta_diversions_total,north_delta
1928-06-01T00:00:00.000000,C_CSL004B,66.2710456734083,CFS,delta_diversions_total,north_delta
1928-07-01T00:00:00.000000,C_CSL004B,110.5567399085536,CFS,delta_diversions_total,north_delta
1928-08-01T00:00:00.000000,C_CSL004B,100.65354345939018,CFS,delta_diversions_total,north_delta
1928-09-01T00:00:00.000000,C_CSL004B,113.25353821170683,CFS,delta_diversions_total,north_delta
1928-10-01T00:00:00.000000,C_CSL004B,109.9076012494972,CFS,delta_diversions_total,north_delta
1928-11-01T00:00:00.000000,C_CSL004B,113.77398829742602,CFS,delta_diversions_total,north_delta
1928-12-01T00:00:00.000000,C_CSL004B,108.64037803427419,CFS,delta_diversions_total,north_delta
1929-01-01T00:00:00.000000,C_CSL004B,87.2818511506741,CFS,delta_diversions_total,north_delta
1929-02-01T00:00:00.000000,C_CSL004B,307.8801812120259,CFS,delta_diversions_total,north_delta
1929-03-01T00:00:00.000000,C_CSL004B,79.5150762660118,CFS,delta_diversions_total,north_delta
1929-04-01T00:00:00.000000,C_CSL004B,78.87513907865306,CFS,delta_diversions_total,north_delta
1929-05-01T00:00:00.000000,C_CSL004B,129.25883374263066,CFS,delta_diversions_total,north_delta
1929-06-01T00:00:00.000000,C_CSL004B,109.19667387769097,CFS,delta_diversions_total,north_delta
1929-07-01T00:00:00.000000,C_CSL004B,89.57496565911764,CFS,delta_diversions_total,north_delta
1929-08-01T00:00:00.000000,C_CSL004B,77.93352807920078,CFS,delta_diversions_total,north_delta
1929-09-01T00:00:00.000000,C_CSL004B,104.47119818679946,CFS,delta_diversions_total,north_delta
1929-10-01T00:00:00.000000,C_CSL004B,97.71433992230132,CFS,delta_diversions_total,north_delta
1929-11-01T00:00:00.000000,C_CSL004B,47.03588964910099,CFS,delta_diversions_total,north_delta
1929-12-01T00:00:00.000000,C_CSL004B,48.63068400912443,CFS,delta_diversions_total,north_delta
1930-01-01T00:00:00.000000,C_CSL004B,49.902782568784176,CFS,delta_diversions_total,north_delta
1930-02-01T00:00:00.000000,C_CSL004B,80.42553082854971,CFS,delta_diversions_total,north_delta
1930-03-01T00:00:00.000000,C_CSL004B,23.121882051452566,CFS,delta_diversions_total,north_delta
1930-04-01T00:00:00.000000,C_CSL004B,48.85636846000396,CFS,delta_diversions_total,north_delta
1930-05-01T00:00:00.000000,C_CSL004B,64.54452204553823,CFS,delta_diversions_total,north_delta
1930-06-01T00:00:00.000000,C_CSL004B,94.42722258848535,CFS,delta_diversions_total,north_delta
1930-07-01T00:00:00.000000,C_CSL004B,106.27499406699351,CFS,delta_diversions_total,north_delta
1930-08-01T00:00:00.000000,C_CSL004B,118.23075428549944,CFS,delta_diversions_total,north_delta
1930-09-01T00:00:00.000000,C_CSL004B,124.35668094133354,CFS,delta_diversions_total,north_delta
1930-10-01T00:00:00.000000,C_CSL004B,96.66789144258593,CFS,delta_diversions_total,north_delta
1930-11-01T00:00:00.000000,C_CSL004B,73.21834016456751,CFS,delta_diversions_total,north_delta
1930-12-01T00:00:00.000000,C_CSL004B,42.37555084648614,CFS,delta_diversions_total,north_delta
1931-01-01T00:00:00.000000,C_CSL004B,43.034682226232185,CFS,delta_diversions_total,north_delta
1931-02-01T00:00:00.000000,C_CSL004B,83.27702327715,CFS,delta_diversions_total,north_delta
1931-03-01T00:00:00.000000,C_CSL004B,56.61164943882725,CFS,delta_diversions_total,north_delta
1931-04-01T00:00:00.000000,C_CSL004B,59.334183270479016,CFS,delta_diversions_total,north_delta
1931-05-01T00:00:00.000000,C_CSL004B,79.95624206373688,CFS,delta_diversions_total,north_delta
1931-06-01T00:00:00.000000,C_CSL004B,85.51503244943953,CFS,delta_diversions_total,north_delta
1931-07-01T00:00:00.000000,C_CSL004B,79.8857336654499,CFS,delta_diversions_total,north_delta
1931-08-01T00:00:00.000000,C_CSL004B,64.31258312655355,CFS,delta_diversions_total,north_delta
1931-09-01T00:00:00.000000,C_CSL004B,66.49234811051225,CFS,delta_diversions_total,north_delta
1931-10-01T00:00:00.000000,C_CSL004B,85.7766618907702,CFS,delta_diversions_total,north_delta
1931-11-01T00:00:00.000000,C_CSL004B,47.606308649595015,CFS,delta_diversions_total,north_delta
1931-12-01T00:00:00.000000,C_CSL004B,30.884641847799877,CFS,delta_diversions_total,north_delta
1932-01-01T00:00:00.000000,C_CSL004B,48.246666725096404,CFS,delta_diversions_total,north_delta
1932-02-01T00:00:00.000000,C_CSL004B,82.72249667678784,CFS,delta_diversions_total,north_delta
1932-03-01T00:00:00.000000,C_CSL004B,47.2751300788904,CFS,delta_diversions_total,north_delta
1932-04-01T00:00:00.000000,C_CSL004B,51.11808948366948,CFS,delta_diversions_total,north_delta
1932-05-01T00:00:00.000000,C_CSL004B,96.44668015509495,CFS,delta_diversions_total,north_delta
1932-06-01T00:00:00.000000,C_CSL004B,99.33994979103855,CFS,delta_diversions_total,north_delta
1932-07-01T00:00:00.000000,C_CSL004B,67.84579946374373,CFS,delta_diversions_total,north_delta
1932-08-01T00:00:00.000000,C_CSL004B,61.21063091140734,CFS,delta_diversions_total,north_delta
1932-09-01T00:00:00.000000,C_CSL004B,63.38812951398925,CFS,delta_diversions_total,north_delta
1932-10-01T00:00:00.000000,C_CSL004B,60.529420060620815,CFS,delta_diversions_total,north_delta
1932-11-01T00:00:00.000000,C_CSL004B,47.3991620232964,CFS,delta_diversions_total,north_delta
1932-12-01T00:00:00.000000,C_CSL004B,70.57568973816797,CFS,delta_diversions_total,north_delta
